Company_name;Link 1;Link 2;Link 3;Link 4;Link 5
SCHINDLER - SOCIETA' PER AZIONI;https://www.schindler.it/it/chi-siamo.html;https://www.ufficiocamerale.it/3754/schindler-societa-per-azioni;https://www.aziende.it/schindler-societa-per-azioni;https://it.marketscreener.com/quotazioni/azione/SCHINDLER-HOLDING-AG-174980/azienda/;https://it.marketscreener.com/quotazioni/azione/SCHINDLER-HOLDING-AG-175296/
METAL WORK HOLDING S.P.A.;https://www.metalwork.it;https://www.metalwork.it/componenti-pneumatici/storia-0000184.html;https://www.metalwork.it/componenti-pneumatici/struttura-numeri-gruppo-0001035.html;https://www.ufficiocamerale.it/1360/metal-work-holding-spa;https://www.bresciaoggi.it/argomenti/economia/economia-nazionale/metal-work-in-accelerazione-nel-2021-un-fatturato-record-1.8792365
TODINI AND CO. SPA;https://www.todini.com/it;https://www.todini.it;https://www.todini.com;https://www.umicore.com/en/newsroom/umicore-acquires-full-ownership-of-todini-and-co/;https://www.todini.com/info
FORMENTI & GIOVENZANA S.P.A. (1);https://fgv.it/it/;https://fgvshop.com/it/;https://fgv.it/en/formenti-and-giovenzana-group/;https://www.lettera63.it/2023/09/07/hettich-acquisisce-formenti-giovenzana-tutti-gli-advisor/;https://www.ilcittadinomb.it/news/economia/veduggio-la-storica-fgv-group-acquisita-dalla-tedesca-hettich-marchi-e-societa-indipendenti/
STAR S.P.A.;https://www.star.it/storia/;https://www.adtrend.it;https://www.adtrend.it/ad-la-sede-star/;https://it.linkedin.com/company/star-spa/;https://www.star-7.com
HYDRO EXTRUSION ITALY S.R.L.;https://www.hydro.com/it-IT/informazioni-su-hydro/le-nostre-sedi/europe/italia/ornago/hydro-extrusions-ornago/;https://www.hydro.com/en-IT/about-hydro/hydro-worldwide/europe/italy/ornago/hydro-extrusions-ornago/;https://www.industrychemistry.com/aziende/hydro-extrusion-italy-srl-ex-sapa-extrusion-italia/;https://meccanica-plus.it/alluminio-a-basse-emissioni-hydro-extrusion-comunica-i-target-di-sostenibilita_131957/;https://www.assolombarda.it/le-imprese/filiere/aziende/hydro/presentazione-hydro-extrusion-italy-srl
KELLOGG ITALIA SPA;https://www.kelloggs.it/it_IT/home.html;https://it.wikipedia.org/wiki/Kellogg's;https://www.marieclaire.it/food/a27026807/kellogg-s-cereali-storia-ame/;https://www.prnewswire.com/it/comunicati-stampa/kellogg-italia-lancia-coltiviamo-la-bonta-la-nuova-campagna-csr-che-promuove-un-benessere-olistico-a-vantaggio-di-singoli-pianeta-e-comunita--827871722.html;https://it-it.facebook.com/kelloggsitalia/
B. & V. HOLDING S.P.A.;https://bvholdingspa.altamiraweb.com;https://www.ufficiocamerale.it/4156/b-v-holding-spa;https://it.kompass.com/c/b-v-holding-s-p-a/it8144531/;https://www.brivioevigano.it/profilo.php?lng=ita;https://www.informazione-aziende.it/Azienda_B-V-HOLDING-SPA
BETA UTENSILI S.P.A.;https://www.beta-tools.com;https://it.wikipedia.org/wiki/Beta_Utensili;https://www.beta-tools.com/en/;https://gruppo-beta.com/il-gruppo/company-profile/;https://gruppo-beta.com
MINOTTI SPA;https://www.minotti.com/it;https://www.minotti.com/en;https://www.minotticucine.it;https://www.salonemilano.it/it/articoli/minotti-storia-di-eccellenza-made-italy-al-traguardo-dei-75-anni;https://it-it.facebook.com/MinottiSpA/
ALFA LAVAL ITALY S.R.L.;https://www.alfalaval.it;https://www.ufficiocamerale.it/3605/alfa-laval-italy-srl;https://www.alfalaval.it/servizio-e-assistenza/local/italia/servizio-di-assistenza-alfa-laval-in-italia/;https://corporate.alfalaval.com/italian;https://www.alfalaval.com/media/news/investors/2021/alfa-laval-opens-next-generation-manufacturing-site-in-italy-as-part-of-its-industry-4-0-strategy/
CO.GE.FIN. S.P.A.;https://www.cogefinspa.it;https://www.cogefaspa.com;https://www.cogefinspa.it/en/chi-siamo;https://www.ceta.it;https://www.zincolossidi.it/gruppo-cogefin
EMERSON PROCESS MANAGEMENT S.R.L.;https://www.emerson.com/it-it/automation/home;https://gisi.it/socio/emerson-process-management-srl/;https://www.emerson.com/it-it;https://www.anima.it/aziende/emerson-process-management-s-r-l-.kl;https://www.ufficiocamerale.it/7766/emerson-process-management-srl
GRUPPO GIMOKA S.P.A.;https://www.gruppogimoka.com;https://www.gimoka.com/it/;https://www.gimoka.com/it/chisiamo/;https://www.gruppogimoka.com/en/;https://www.grancaffegaribaldi.it
CANALI HOLDING SOCIETA' PER AZIONI;https://www.ufficiocamerale.it/5017/canali-holding-societa-per-azioni;https://it.wikipedia.org/wiki/Canali_(azienda);https://www.dnb.com/business-directory/company-profiles.canali_holding_societa_per_azioni.12c8964022649059cb7fc4a345fb49f1.html;https://registroaziende.it/azienda/canali-holding-societa-per-azioni-triuggio;https://www.informazione-aziende.it/Azienda_CANALI-HOLDING-SOCIETA-PER-AZIONI
FRESH TROPICAL SRL BY JAWAD;https://www.freshtropical.it;https://www.freshtropical.it/en/home/;https://www.freshtropical.it/en/company/;https://it-it.facebook.com/freshtropical/;https://www.facebook.com/freshtropical/
