Company,weighted_score,l_score,w_score,ESG,GENDER EQUALITY,VOLLEYBALL
SET S.P.A.,0.19,0.0,0.64,1.86,0.0,0.07
I.P.A. INDUSTRIA PORCELLANE S.P.A.,0.19,0.0,0.64,1.73,0.0,0.13
SODEXO BENEFITS & REWARDS SERVICES ITALIA SRL,0.19,0.0,0.64,1.68,0.0,0.16
RISTOSERVICE S.R.L.,0.19,0.0,0.64,1.2,0.0,0.4
DELL'ORTO S.P.A.,0.19,0.0,0.64,0.7,0.0,0.65
BOLTON MANITOBA S.P.A.,0.19,0.0,0.64,1.0,1.12,0.12
APERAM STAINLESS SERVICES & SOLUTIONS ITALY SRL,0.19,0.0,0.64,1.52,0.0,0.24
ENERGYA S.P.A.,0.19,0.0,0.64,1.85,0.0,0.08
BOSCH REXROTH OIL CONTROL S.P.A.,0.19,0.0,0.64,0.86,0.0,0.57
PILOT ITALIA S.P.A.,0.19,0.0,0.64,1.16,0.84,0.14
ALI GROUP S.R.L.,0.19,0.0,0.64,1.46,0.0,0.27
OLON S.P.A.,0.18,0.0,0.6,1.17,0.1,0.38
RISO SCOTTI S.P.A.,0.18,0.0,0.6,1.68,0.0,0.16
GIOMA VARO SRL,0.18,0.0,0.6,2.0,0.0,0.0
SONATRACH RAFFINERIA ITALIANA S.R.L.,0.18,0.0,0.6,1.69,0.0,0.16
ISTITUTO EUROPEO DI ONCOLOGIA SRL,0.18,0.0,0.6,0.18,1.06,0.56
ALVECO S.R.L.,0.18,0.0,0.6,1.56,0.0,0.22
FREUD S.P.A.,0.18,0.0,0.6,1.0,0.9,0.2
GELSIA S.R.L.,0.18,0.0,0.6,0.67,0.0,0.66
KSB ITALIA S.P.A.,0.18,0.0,0.6,0.86,0.0,0.57
S.C. JOHNSON ITALY S.R.L.,0.18,0.0,0.6,0.9,0.9,0.25
BORMIOLI PHARMA S.P.A.,0.18,0.0,0.6,1.9,0.0,0.05
ELIOR RISTORAZIONE S.P.A.,0.18,0.0,0.6,0.89,0.6,0.36
ELLE EMME LOGISTICA S.P.A.,0.18,0.0,0.6,1.35,0.0,0.33
SOCIETA' ITALIANA ACCIAI TUBI SIAT SOCIETA' PER AZIONI CON SIGLA SIAT SPA,0.18,0.0,0.6,0.89,0.0,0.56
EIGENMANN & VERONELLI S.P.A.,0.18,0.0,0.6,1.49,0.0,0.25
TECNOSTAMP TRIULZI GROUP S.R.L.,0.18,0.0,0.6,1.59,0.0,0.21
LVMH PROFUMI E COSMETICI ITALIA S.R.L.,0.18,0.0,0.6,1.11,0.0,0.44
PRENATAL S.P.A.,0.18,0.0,0.6,1.22,0.76,0.14
"EGIDIO GALBANI SOCIETA' A RESPONSABILITA' LIMITATA IN BREVE ""EGIDIO GALBANI S.R.L."" O ""E.GA. S.R.L.""",0.18,0.0,0.6,0.58,0.0,0.71
PRENATAL RETAIL GROUP S.P.A.,0.18,0.0,0.6,1.22,0.76,0.14
BUSINESS INTEGRATION PARTNERS S.P.A.,0.18,0.0,0.6,0.97,0.24,0.43
CONSORZIO DESIO-BRIANZA,0.18,0.0,0.6,0.0,0.13,0.96
"CONSORZIO NAZIONALE PER LA RACCOLTA, IL RICICLO E IL RECUPERO DEGLI IMBALLAGGI IN PLASTICA",0.18,0.0,0.6,1.39,0.0,0.3
IMR-INDUSTRIALESUD S.P.A.,0.18,0.0,0.6,1.33,0.0,0.33
EXPEDITORS INTERNATIONAL ITALIA S.R.L.,0.18,0.0,0.6,0.25,0.0,0.87
JT INTERNATIONAL ITALIA S.R.L.,0.18,0.0,0.6,1.09,0.68,0.23
J.B. CARS S.R.L.,0.18,0.17,0.19,0.23,0.0,0.88
AMPLIFON ITALIA S.P.A.,0.18,0.17,0.19,0.3,0.0,0.85
SYNLAB ITALIA S.R.L.,0.18,0.17,0.19,0.65,0.0,0.68
RECKITT BENCKISER COMMERCIAL (ITALIA) S.R.L.,0.18,0.03,0.52,1.06,0.0,0.47
LG ELECTRONICS ITALIA S.P.A.,0.17,0.12,0.3,1.59,0.0,0.2
A2A GENCOGAS S.P.A.,0.17,0.0,0.56,0.76,0.0,0.62
FIERA MILANO S.P.A.,0.17,0.0,0.56,1.17,0.0,0.42
OLTREFRONTIERA PROGETTI S.R.L.,0.17,0.0,0.56,0.6,0.0,0.7
EDENRED UTA MOBILITY SRL,0.17,0.0,0.56,1.0,0.0,0.5
CHRISTIAN DIOR ITALIA S.R.L.,0.17,0.0,0.56,1.11,0.0,0.44
FILMCUTTER ADVANCED MATERIAL S.R.L.,0.17,0.0,0.56,2.0,0.0,0.0
WEG ITALIA S.R.L.,0.17,0.0,0.56,2.0,0.0,0.0
MATICMIND S.P.A.,0.17,0.0,0.56,1.15,1.15,0.04
PHILIPS S.P.A.,0.17,0.0,0.56,1.21,0.0,0.4
FRUTTITAL S.R.L.,0.17,0.0,0.56,1.64,0.0,0.18
TENOVA S.P.A.,0.17,0.0,0.56,1.67,0.0,0.17
FRESH WAYS S.R.L.,0.17,0.0,0.56,0.0,0.0,1.0
IRIDEOS S.P.A.,0.17,0.0,0.56,0.0,0.0,1.0
SIR INDUSTRIALE S.P.A.,0.17,0.0,0.56,1.69,0.0,0.15
DELL ORTO GIAN PAOLO S.P.A.,0.17,0.0,0.56,0.74,0.0,0.63
ALTUGLAS S.R.L.,0.17,0.0,0.56,1.55,0.11,0.19
EUROTRANCIATURA S.P.A.,0.17,0.0,0.56,1.29,0.0,0.36
NAMED S.R.L. **,0.17,0.0,0.56,0.0,0.11,0.96
CIP LOMBARDIA SRL,0.17,0.0,0.56,1.28,0.0,0.36
CMO GROUP S.R.L.,0.17,0.0,0.56,2.0,0.0,0.0
AB.M MILANO S.R.L.,0.17,0.0,0.56,0.72,0.0,0.64
NEXT HARDWARE & SOFTWARE S.P.A.,0.17,0.19,0.11,0.18,0.0,0.91
SOCIOSFERA ONLUS SOCIETA' COOPERATIVA SOCIALE,0.16,0.0,0.52,0.0,1.35,0.55
F R A M S.R.L.,0.16,0.0,0.52,1.6,0.0,0.2
EGIMOTORS S.R.L.,0.16,0.0,0.52,0.0,0.0,1.0
HP23 S.R.L.,0.16,0.0,0.52,0.08,0.0,0.96
HISENSE ITALIA SRL,0.16,0.0,0.52,1.38,0.0,0.31
ROSLER ITALIANA SRL,0.16,0.0,0.52,1.64,0.0,0.18
EUROITALIA S.R.L. **,0.16,0.0,0.52,1.88,0.0,0.06
GENERTEC ITALIA S.R.L.,0.16,0.0,0.52,1.6,0.0,0.2
"BECTON, DICKINSON ITALIA S.P.A.",0.16,0.0,0.52,1.68,0.0,0.16
MAKINO S.R.L.,0.16,0.0,0.52,0.0,0.0,1.0
ASC SOCIETA' A RESPONSABILITA' LIMITATA IN BREVE ASC S.R.L.,0.16,0.0,0.52,0.43,0.0,0.78
LA NETTATUTTO S.R.L.,0.16,0.0,0.52,0.13,0.0,0.93
ATAM S.P.A.,0.16,0.0,0.52,1.15,0.0,0.43
TESI S.P.A.,0.16,0.0,0.52,0.72,0.0,0.64
LATTONEDIL S.P.A. MILANO,0.16,0.0,0.52,1.54,0.0,0.23
VIO & C. S.R.L.,0.16,0.0,0.52,0.0,0.0,1.0
PIETRO CORICELLI - S.P.A.,0.16,0.0,0.52,2.0,0.0,0.0
VEOS S.P.A. **,0.16,0.0,0.52,0.22,0.0,0.89
ALTEN ITALIA S.P.A.,0.16,0.0,0.52,0.19,0.56,0.72
CONTINENTAL ITALIA S.P.A. PNEUMATICI PRODOTTI DI GOMMA E PLASTICI,0.16,0.0,0.52,0.21,0.0,0.9
ASC S.R.L.,0.16,0.0,0.52,0.49,0.0,0.76
NOVABIT S.R.L.,0.16,0.0,0.52,1.64,0.0,0.18
BOREALIS ITALIA S.P.A.,0.16,0.0,0.52,2.0,0.0,0.0
PARKER HANNIFIN ITALY S.R.L.,0.16,0.0,0.52,1.2,0.0,0.4
MASCHERONI S.R.L.,0.16,0.0,0.52,0.0,0.0,1.0
OPELLA HEALTHCARE ITALY SRL O OPELLA HEALTHCARE ITALY SRL SOCIETA' BENEFIT,0.16,0.0,0.52,1.37,0.0,0.32
TURCONI SPA,0.16,0.0,0.52,0.97,0.24,0.43
STAUBLI ITALIA S.P.A.,0.16,0.0,0.52,1.08,0.0,0.46
SPEKTRA - AGRI S.R.L.,0.16,0.0,0.52,1.59,0.0,0.21
DIVERSEY S.P.A.,0.16,0.0,0.52,1.74,0.0,0.13
OFFICINE VICA S.P.A.,0.16,0.0,0.52,0.0,2.65,0.12
BETA UTENSILI S.P.A.,0.15,0.06,0.38,0.2,0.0,0.9
EPIPOLI SPA,0.15,0.14,0.15,0.21,0.0,0.9
CAVOTEC SPECIMAS SPA,0.15,0.0,0.49,1.02,0.0,0.49
BOFFI S.P.A.,0.15,0.0,0.49,1.43,0.0,0.29
UNITED PARCEL SERVICE ITALIA SRL,0.15,0.0,0.49,1.33,0.0,0.33
LAPP ITALIA S.R.L.,0.15,0.0,0.49,1.13,0.0,0.43
BSH ELETTRODOMESTICI S.P.A.,0.15,0.0,0.49,1.05,0.22,0.4
HIWIN S.R.L.,0.15,0.0,0.49,1.23,0.35,0.27
MIREX SPA,0.15,0.0,0.49,1.27,0.0,0.36
GRUPPO COLZANI S.R.L.,0.15,0.0,0.49,0.0,0.0,1.0
TRILUX ITALIA S.R.L.,0.15,0.0,0.49,1.67,0.0,0.16
BASF ITALIA S.P.A.,0.15,0.0,0.49,2.0,0.0,0.0
CARTONGRAF 1890 S.R.L.,0.15,0.0,0.49,0.96,0.0,0.52
CARLO BRAMBILLA S.R.L.,0.15,0.0,0.49,1.71,0.0,0.14
METAL WORK HOLDING S.P.A.,0.15,0.0,0.49,1.25,0.0,0.38
CANTARELLA & MOLTENI S.R.L.,0.15,0.0,0.49,0.75,0.0,0.62
"""ANHEUSER - BUSCH INBEV ITALIA SPA"" OVVERO IN FORMA ABBREVIATA ""AB INBEV ITALIA SPA""",0.15,0.0,0.49,0.24,0.0,0.88
ARCO SPEDIZIONI S.P.A.,0.15,0.0,0.49,0.08,0.0,0.96
MOSCA MOTORI S.R.L.,0.15,0.0,0.49,0.0,0.0,1.0
KPMG S.P.A.,0.15,0.0,0.49,1.1,0.31,0.34
YOU LOG S.P.A.,0.15,0.0,0.49,0.4,0.06,0.78
ADI ENERGIA S.R.L.,0.15,0.0,0.49,0.74,0.0,0.63
INTESA SANPAOLO RENT FORYOU S.P.A.,0.15,0.0,0.49,0.83,0.0,0.59
RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A. IN BREVE RECORDATI S.P.A.,0.15,0.0,0.49,1.09,0.0,0.45
COSMELUX S.R.L.,0.15,0.0,0.49,1.56,0.0,0.22
JOHN DEERE ITALIANA S.R.L.,0.15,0.0,0.49,0.75,0.0,0.62
AMAZON DATA SERVICES ITALY S.R.L.,0.15,0.0,0.49,0.39,0.05,0.79
TEKNA CHEM S.P.A.,0.15,0.0,0.49,1.49,0.0,0.26
KELLOGG ITALIA SPA,0.15,0.0,0.49,0.74,0.2,0.57
SOL S.P.A. (1),0.15,0.0,0.49,1.53,0.1,0.2
AON S.P.A. INSURANCE & REINSURANCE BROKERS O IN FORMA ABBREVIATA AON S.P.A.,0.15,0.0,0.49,1.27,0.0,0.36
PUBLITALIA 80 CONCESSIONARIA PUBBLICITA S.P.A. E IN FORMA ABBREVIATA PUBLITALIA 80 S.P.A.,0.15,0.0,0.49,0.12,0.0,0.94
ROVAGNATI SPA,0.14,0.04,0.38,1.0,0.0,0.5
TELECOM ITALIA SPA O TIM S.P.A.,0.14,0.1,0.22,0.73,0.55,0.45
"PANDORA ITALIA SOCIETA' A RESPONSABILITA' LIMITATA IN BREVE ""PANDORA ITALIA S.R.L.""",0.13,0.0,0.45,0.91,0.0,0.55
ROYAL GREENLAND ITALIA SOCIETA' PER AZIONI,0.13,0.0,0.45,1.82,0.0,0.09
ZAPPA S.R.L.,0.13,0.0,0.45,0.67,0.0,0.67
GAS SALES S.R.L.,0.13,0.0,0.45,0.37,0.0,0.81
ATOS ITALIA S.P.A.,0.13,0.0,0.45,0.63,0.0,0.68
MOELLHAUSEN SPA,0.13,0.0,0.45,2.0,0.0,0.0
MARTEC S.P.A.,0.13,0.0,0.45,0.37,0.0,0.81
WORTHINGTON S.R.L. (1),0.13,0.0,0.45,1.03,0.0,0.48
BIREL ART S.R.L.,0.13,0.0,0.45,0.0,0.0,1.0
AMIACQUE SRL,0.13,0.0,0.45,1.0,0.0,0.5
PARTECIPAZIONI SOCIETA' ALIMENTARI S.R.L. O PIU' BREVEMENTE PARTESA S.R.L.,0.13,0.0,0.45,0.91,0.0,0.55
GS SPA,0.13,0.0,0.45,0.44,0.16,0.73
WITTMANN BATTENFELD ITALIA SRL,0.13,0.0,0.45,1.37,0.0,0.31
GRENKE LOCAZIONE S.R.L.,0.13,0.0,0.45,1.53,0.0,0.24
WEBUILD ITALIA SPA,0.13,0.0,0.45,0.0,0.21,0.93
SCHINDLER - SOCIETA' PER AZIONI,0.13,0.0,0.45,0.75,0.0,0.62
MICYS COMPANY S.P.A.,0.13,0.0,0.45,0.53,0.95,0.42
AMILON SRL,0.13,0.0,0.45,1.91,0.0,0.04
MULTIMEDICA S.P.A.,0.13,0.0,0.45,0.0,0.62,0.79
AXALTA COATING SYSTEMS ITALY SRL,0.13,0.0,0.45,1.38,0.0,0.31
FRIGERIO VIAGGI SRL,0.13,0.0,0.45,0.16,0.0,0.92
MARTEC MARINE S.P.A.,0.13,0.0,0.45,0.2,0.0,0.9
STAR S.P.A.,0.13,0.0,0.45,0.64,0.32,0.57
COMAP S.R.L.,0.13,0.0,0.45,0.67,0.0,0.67
RODACCIAI S.P.A.,0.13,0.0,0.45,2.0,0.0,0.0
CHANEL S.R.L.,0.13,0.0,0.45,0.67,0.6,0.47
INTERZERO ITALY S.R.L.,0.13,0.0,0.45,1.62,0.0,0.19
CEBA INGRANAGGI S.R.L.,0.13,0.0,0.45,2.0,0.0,0.0
ECOSAN S.R.L.,0.13,0.0,0.45,1.33,0.0,0.33
RIVA LOGISTIC & SERVICE S.R.L.,0.13,0.0,0.45,0.07,0.0,0.97
UNION FOAM S.P.A.,0.13,0.0,0.45,1.64,0.0,0.18
SORGENIA TRADING S.P.A.,0.13,0.0,0.45,1.12,0.25,0.36
RITRAMA S.P.A.,0.13,0.0,0.45,1.15,0.0,0.42
TOTALENERGIES EP ITALIA S.P.A.,0.13,0.0,0.45,1.0,0.0,0.5
COMPAGNIA ITALIANA FORME ACCIAIO S.P.A. NELLA FORMA ESTESA E CIFA S.P.A. NELLA FORMA ABBREVIATA,0.13,0.0,0.45,0.83,0.0,0.58
IMCD ITALIA S.P.A.,0.13,0.0,0.45,1.58,0.0,0.21
TOSHIBA TEC ITALIA IMAGING SYSTEMS S.P.A.,0.13,0.0,0.45,1.23,0.0,0.39
EPTA S.P.A.,0.13,0.0,0.45,1.42,0.0,0.29
CLEAF SPA,0.13,0.16,0.08,0.92,0.69,0.31
OSPEDALE SAN RAFFAELE S.R.L.,0.13,0.09,0.22,0.0,0.25,0.92
IPERAL SUPERMERCATI S.P.A.,0.13,0.12,0.15,1.0,0.0,0.5
BIOGEN ITALIA S.R.L.,0.12,0.14,0.08,1.47,0.47,0.11
THYSSENKRUPP ELECTRICAL STEEL ITALIA S.R.L.,0.12,0.0,0.41,1.78,0.0,0.11
ENEGREEN S.P.A.,0.12,0.0,0.41,1.18,0.0,0.41
TONCAR S.R.L.,0.12,0.0,0.41,1.69,0.0,0.16
CAVE ROCCA S.R.L.,0.12,0.0,0.41,1.69,0.0,0.15
I.M.P. INDUSTRIA METALLI PRESSOFUSI SRL,0.12,0.0,0.41,0.0,0.0,1.0
ELSTER S.R.L.,0.12,0.0,0.41,0.53,0.0,0.74
DHL GLOBAL FORWARDING (ITALY) S.P.A.,0.12,0.0,0.41,0.5,0.0,0.75
AGRIFARMA SPA,0.12,0.0,0.41,1.0,1.23,0.09
I.M.P. S.P.A.,0.12,0.0,0.41,1.27,0.0,0.36
CRS HOME S.R.L.,0.12,0.0,0.41,0.86,0.0,0.57
RIZZOLI CORRIERE DELLA SERA MEDIAGROUP SPA O IN FORMA ABBREVIATA RCS MEDIAGROUP SPA O RCS S.P.A.,0.12,0.0,0.41,0.68,0.0,0.66
AMGEN S.R.L.,0.12,0.0,0.41,0.94,0.84,0.25
AL DAHRA EUROPE S.R.L.,0.12,0.0,0.41,1.73,0.0,0.13
TECNAIR S.P.A.,0.12,0.0,0.41,2.0,0.0,0.0
KION RENTAL SERVICES S.P.A.,0.12,0.0,0.41,1.25,0.0,0.38
THE JUICE PLUS+ COMPANY SRL,0.12,0.0,0.41,0.17,1.96,0.26
PROFIMED SRL,0.12,0.0,0.41,1.8,0.0,0.1
SOLVAY SOLUTIONS ITALIA S.P.A.,0.12,0.0,0.41,0.94,0.0,0.53
SMITH & NEPHEW SRL,0.12,0.0,0.41,0.41,0.09,0.77
PAGANI INDUSTRIE ALIMENTARI S.P.A.,0.12,0.0,0.41,1.28,0.0,0.36
DOCEBO S.P.A.,0.12,0.0,0.41,0.32,0.29,0.74
WIND TRE ITALIA S.P.A.,0.12,0.0,0.41,0.98,0.17,0.45
SIRTI - SOCIETA' PER AZIONI,0.12,0.0,0.41,0.74,0.42,0.49
VAILOG S.R.L.,0.12,0.0,0.41,0.35,0.0,0.82
GE MEDICAL SYSTEMS ITALIA S.P.A,0.12,0.0,0.41,0.93,0.21,0.47
BERTO S.R.L.,0.12,0.0,0.41,1.45,0.0,0.28
POLYEDRA S.P.A.,0.12,0.0,0.41,1.0,1.5,0.0
ROLEX ITALIA S.P.A. IN BREVE ROL.IT. S.P.A.,0.12,0.0,0.41,0.1,0.0,0.95
ACCIAI BRIANZA S.P.A.,0.12,0.0,0.41,1.39,0.0,0.3
POLICLINICO SAN DONATO S.P.A.,0.12,0.0,0.41,0.0,0.78,0.74
BENCINI CESARE S.R.L.,0.12,0.0,0.41,0.44,0.0,0.78
CAPSOL S.P.A.,0.12,0.0,0.41,1.29,0.0,0.36
TRANS TUNISIAN PIPELINE COMPANY S.P.A.,0.12,0.0,0.41,0.0,0.0,1.0
BOLLORE' LOGISTICS ITALY S.P.A.,0.12,0.0,0.41,0.18,0.0,0.91
MARIANI AUTO SRL,0.12,0.0,0.41,0.1,0.0,0.95
GAMMA CHIMICA S.P.A.,0.12,0.0,0.41,0.86,0.64,0.36
HUAWEI TECHNOLOGIES ITALIA S.R.L.,0.12,0.1,0.15,0.12,0.0,0.94
BIANALISI S.P.A. *,0.11,0.13,0.08,0.0,0.36,0.88
OMEGA-IFS S.R.L.,0.11,0.0,0.38,0.29,1.29,0.43
AIR LOGISTICS S.R.L.,0.11,0.0,0.38,0.17,0.0,0.91
GALFIN S.R.L.,0.11,0.0,0.38,0.4,0.0,0.8
FUMAGALLI DANILO S.R.L.,0.11,0.0,0.38,0.0,1.91,0.36
PANZERI CARLO S.R.L.,0.11,0.0,0.38,1.72,0.0,0.14
GELSIA AMBIENTE S.R.L.,0.11,0.0,0.38,0.17,0.0,0.92
SYNGENTA ITALIA S.P.A.,0.11,0.0,0.38,1.82,0.0,0.09
WORLD FUEL SERVICES ITALY S.R.L.,0.11,0.0,0.38,0.77,0.0,0.62
SALMOIRAGHI & VIGANO' S.P.A. E - IN FORMA ABBREVIATA - S&V S.P.A.,0.11,0.0,0.38,0.4,0.0,0.8
O.M.A. S.R.L.,0.11,0.0,0.38,0.76,0.0,0.62
BOXLINE UNITED CARGO LINK S.R.L.,0.11,0.0,0.38,0.0,0.0,1.0
CONSORZIO X-RESPONSE,0.11,0.0,0.38,0.53,0.0,0.74
SD CHEMICALS SRL,0.11,0.0,0.38,1.62,0.0,0.19
HALLSTAR ITALIA SRL,0.11,0.0,0.38,1.29,0.29,0.26
BRIANZACQUE S.R.L.,0.11,0.0,0.38,0.38,0.0,0.81
BRICOCENTER ITALIA S.R.L.,0.11,0.0,0.38,0.71,0.0,0.64
MARCEGAGLIA BUILDTECH S.R.L.,0.11,0.0,0.38,0.86,0.0,0.57
BUILDING DIVISION S.R.L.,0.11,0.0,0.38,0.17,0.39,0.78
PONZINI HOLDING S.R.L.,0.11,0.0,0.38,0.91,0.0,0.55
VAMP TECHNOLOGIES S.P.A.,0.11,0.0,0.38,0.22,0.0,0.89
EXENTIAL CONSULTING S.R.L.,0.11,0.0,0.38,0.0,0.0,1.0
BIMAN S.R.L.,0.11,0.0,0.38,0.4,0.0,0.8
ESPRINET S.P.A.,0.11,0.0,0.38,1.25,0.0,0.38
MAURI BUS SYSTEM SRL,0.11,0.0,0.38,0.15,0.0,0.93
F.LLI MASCIAGHI S.R.L.,0.11,0.0,0.38,0.59,0.33,0.59
PILZ ITALIA S.R.L.,0.11,0.0,0.38,0.63,0.0,0.69
MIRABELLO CARRARA S.P.A.,0.11,0.0,0.38,1.12,0.0,0.44
PIGOMMA SOCIETA' PER AZIONI,0.11,0.0,0.38,1.3,0.0,0.35
ENERGEAN ITALY S.P.A.,0.11,0.0,0.38,1.37,0.0,0.32
AXA ITALIA SERVIZI S.C.P.A.,0.11,0.0,0.38,0.8,0.77,0.34
AVANADE ITALY S.R.L.,0.11,0.0,0.38,1.53,0.3,0.13
THE WALT DISNEY COMPANY ITALIA S.R.L.,0.11,0.0,0.38,0.37,0.0,0.81
VIVISOL NAPOLI S.R.L.,0.11,0.0,0.38,1.53,0.0,0.24
EUROFLORA SRL,0.11,0.0,0.38,0.0,0.0,1.0
GREENCHEMICALS S.R.L.,0.11,0.0,0.38,0.36,2.45,0.0
VOLVO GROUP ITALIA S.P.A.,0.11,0.0,0.38,0.25,0.0,0.88
ARGOS S.P.A.,0.11,0.0,0.38,0.29,0.0,0.86
KVADRAT S.P.A.,0.11,0.0,0.38,1.66,0.0,0.17
NEOPHARMED GENTILI S.P.A.,0.11,0.0,0.38,1.82,0.27,0.0
GIUSSANI GROUP SRL,0.11,0.0,0.38,0.86,1.29,0.14
DOX-AL ITALIA S.P.A. **,0.11,0.0,0.38,0.88,0.0,0.56
ORTEA S.P.A,0.1,0.1,0.11,1.64,0.0,0.18
TAGLIABUE GOMME GROSS S.R.L.,0.1,0.14,0.0,0.0,0.0,1.0
CARGILL S.R.L.,0.1,0.0,0.34,0.0,0.0,1.0
NALCO ITALIANA S.R.L.,0.1,0.0,0.34,0.67,0.0,0.67
SHELL ITALIA OIL PRODUCTS S.R.L.,0.1,0.0,0.34,0.67,0.0,0.67
HONEYWELL S.R.L.,0.1,0.0,0.34,0.0,0.0,1.0
NICE S.R.L. MANIFATTURA TESSILE,0.1,0.0,0.34,0.13,0.0,0.93
SICAM SOCIETA' ITALIANA COMMERCIO ACCIAI E METALLI S.P.A.,0.1,0.0,0.34,0.67,0.0,0.67
ESSELUNGA SPA,0.1,0.0,0.34,1.64,0.0,0.18
GRUPPO CIMBALI S.P.A.,0.1,0.0,0.34,1.22,0.18,0.33
BABCOCK WANSON ITALIANA S.P.A.,0.1,0.0,0.34,1.83,0.0,0.09
"NESTLE' PURINA COMMERCIALE S.R.L. IN FORMA ABBREVIATA ""PUR.IT S.R.L.""",0.1,0.0,0.34,0.05,0.0,0.97
DHL SUPPLY CHAIN (ITALY) S.P.A.,0.1,0.0,0.34,0.67,0.0,0.67
INTERNATIONAL POWER COMPONENTS S.R.L.,0.1,0.0,0.34,2.0,0.0,0.0
BERETTA SRL,0.1,0.0,0.34,0.57,0.0,0.71
SIEMENS HEALTHCARE S.R.L.,0.1,0.0,0.34,0.51,0.51,0.57
OSPEDALE GALEAZZI S.P.A.,0.1,0.0,0.34,0.14,0.0,0.93
MILANO SERRAVALLE - MILANO TANGENZIALI S.P.A.,0.1,0.0,0.34,0.0,0.0,1.0
STANLEY BLACK & DECKER ITALIA S.R.L.,0.1,0.0,0.34,0.4,0.0,0.8
POSCO INTERNATIONAL ITALIA SRL,0.1,0.0,0.34,0.67,0.0,0.67
GUILLIN ITALIA S.P.A.,0.1,0.0,0.34,1.33,0.0,0.33
RIVA ACCIAIO S.P.A.,0.1,0.0,0.34,0.65,0.29,0.58
UTILITA' S.P.A.,0.1,0.0,0.34,1.86,0.0,0.07
DOW ITALIA DIVISIONE COMMERCIALE S.R.L.,0.1,0.0,0.34,1.57,0.0,0.22
HAMILTON ITALIA SRL,0.1,0.0,0.34,0.94,0.28,0.44
ARCELORMITTAL COMMERCIAL ITALY SRL,0.1,0.0,0.34,1.33,0.0,0.33
AUTOLOCATELLI S.R.L.,0.1,0.0,0.34,0.0,0.0,1.0
MARELLI SALVATORE S.R.L.,0.1,0.0,0.34,0.15,0.0,0.92
HEIDRUN EUROPLASTIC SRL,0.1,0.0,0.34,0.48,0.0,0.76
NOKIA SOLUTIONS AND NETWORKS ITALIA S.P.A. IN FORMA ABBREVIATA NSN ITALIA S.P.A.,0.1,0.0,0.34,0.18,0.0,0.91
ISA S.P.A.,0.1,0.0,0.34,1.71,0.0,0.14
ROCHE DIAGNOSTICS S.P.A. *,0.1,0.0,0.34,2.0,0.0,0.0
CEPAV (CONSORZIO ENI PER L'ALTA VELOCITA')DUE,0.1,0.0,0.34,0.88,0.0,0.56
AB MEDICA S.P.A.,0.1,0.0,0.34,0.61,0.0,0.69
CISCO PHOTONICS ITALY S.R.L,0.1,0.0,0.34,1.14,0.0,0.43
MEREGALLI IMPIANTI TERMOTECNICI S.R.L.,0.1,0.0,0.34,0.67,0.0,0.67
T.W.S. EXPRESS COURIER S.R.L.,0.1,0.0,0.34,0.0,0.0,1.0
IL SOLE 24 ORE S.P.A.,0.1,0.0,0.34,0.52,0.47,0.58
VELCRO ITALIA S.R.L.,0.1,0.0,0.34,1.2,0.0,0.4
COMMUNICATION VIDEO ENGINEERING S.R.L.,0.1,0.0,0.34,0.11,0.0,0.94
DAL CIN GILDO S.P.A.,0.1,0.0,0.34,1.38,0.0,0.31
ADVIPLAST S.P.A.,0.1,0.0,0.34,1.45,0.0,0.27
CONFORAMA ITALIA S.P.A.,0.1,0.0,0.34,0.25,0.68,0.65
WORK GROUP S.R.L.,0.1,0.0,0.34,1.17,0.0,0.42
COMPO EXPERT ITALIA S.R.L.,0.1,0.0,0.34,1.06,0.0,0.47
ELESA S.P.A.,0.1,0.0,0.34,0.69,0.0,0.65
FOOT LOCKER ITALY SRL,0.1,0.0,0.34,0.67,0.0,0.67
KNORR-BREMSE SISTEMI PER AUTOVEICOLI COMMERCIALI S.P.A.,0.1,0.0,0.34,0.33,0.0,0.83
GOGLIO S.P.A. O IN FORMA ESTESA GOGLIO LUIGI MILANO S.P.A.,0.1,0.0,0.34,1.52,0.0,0.24
SEAWAY S.R.L.,0.1,0.0,0.34,0.0,0.0,1.0
TO.MARKET S.R.L.,0.1,0.0,0.34,0.85,0.35,0.46
GAZPROM ITALIA S.P.A.,0.1,0.0,0.34,0.0,0.15,0.95
DYSON S.R.L.,0.1,0.04,0.22,0.2,0.0,0.9
FORMENTI & GIOVENZANA S.P.A. (1),0.1,0.07,0.15,0.33,0.0,0.83
E.P.M. S.P.A. **,0.09,0.0,0.3,1.25,0.0,0.38
MCI - MARZORATI COMPONENTI INDUSTRIALI SPA,0.09,0.0,0.3,0.96,0.19,0.46
PRADA S.P.A.,0.09,0.0,0.3,0.0,0.78,0.74
SOLETO S.P.A.,0.09,0.0,0.3,0.24,1.59,0.35
"""BEKO ITALY S.R.L.""",0.09,0.0,0.3,0.92,0.0,0.54
BIFIRE S.P.A.,0.09,0.0,0.3,1.66,0.0,0.17
ELECTRALINE 3PMARK SPA **,0.09,0.0,0.3,2.0,0.0,0.0
E.ON BUSINESS SOLUTIONS S.R.L.,0.09,0.0,0.3,0.67,0.0,0.67
ESSERENERGIA SPA,0.09,0.0,0.3,0.97,0.0,0.51
