165;BECKHOFF AUTOMATION S.R.L.;71.938.531;26,05;;Limbiate;O;Commercio all'ingrosso;;;;;;;;;;
166;SPECIAL FLANGES SOCIETA' PER AZIONI **;70.136.935;9,99;;Cesano Maderno;O;Metallurgia;;;;;;;;;;
167;NALCO ITALIANA S.R.L.;69.910.425;8,12;;Vimercate;O;Commercio all'ingrosso;;;;;;;;;;
168;DNV BUSINESS ASSURANCE ITALY S.R.L.;68.846.636;25,79;;Vimercate;O;Attività professionali;;;;;;;;;;
169;GF MACHINING SOLUTIONS SPA;68.533.832;14,84;;Agrate Brianza;O;Commercio all'ingrosso;;;;;;;;;;
170;AMBROGIO MORO S.P.A. **;67.940.658;4,96;;Meda;O;Edilizia;;;;;;;;;;
171;LAPP ITALIA S.R.L.;65.016.817;18,58;;Desio;O;Commercio all'ingrosso;;;;;;;;;;
172;HEIDRUN EUROPLASTIC SRL;64.960.757;7,20;;Lissone;O;Gomma-plastica;;;;;;;;;;
173;REDA S.P.A.;64.271.084;17,76;;Monza;C;Gomma-plastica;;;;;;;;;;
174;EDIM S.P.A.;64.052.853;-107,15;;Villasanta;O;Metallurgia;;;;;;;;;;
175;COOK ITALIA S.R.L.;63.436.104;3,90;;Nova Milanese;O;Commercio all'ingrosso;;;;;;;;;;
176;SACMA LIMBIATE S.P.A.;63.251.000;5,11;;Varedo;C;Macchinari;;;;;;;;;;
177;P.O.S.A. - S.P.A.;62.769.397;19,26;;Brugherio;O;Gomma-plastica;;;;;;;;;;
178;TOSCA ITALY S.P.A.;62.650.745;22,86;;Agrate Brianza;O;Attività di noleggio di macchine e attrezzature;;;;;;;;;;
179;LIMA EUSIDER S.R.L.;62.375.579;22,33;;Desio;O;Commercio all'ingrosso;;;;;;;;;;
180;STENA METALL HOLDING S.R.L.;61.444.000;-8,04;;Cavenago di Brianza;C;Utilities;;;;;;;;;;
181;AARTEE DISTRIBUZIONE ITALIA SRL;60.807.362;-42,30;;Arcore;O;Metallurgia;;;;;;;;;;
182;HYDAC S.P.A;60.508.715;24,69;;Agrate Brianza;O;Commercio all'ingrosso;;;;;;;;;;
183;CONSORZIO LOMBARDO PER LA RIQUALIFICAZIONE ENERGETICA;60.348.266;52,19;;Muggiò;O;Edilizia;;;;;;;;;;
